,Rigveda,Samaveda,Yajurveda,Atharvaveda (Paippalada),Atharvaveda (Saunaka),Kausitaki-Br,Pancavimsa-Br,Satapatha-Br,Gopatha-Br,Aitareya-Up,Taittiriya-Up,Chandogya-Up,Brhadaranyaka-Up,Prashna-Up,Shvetashvatara-Up,Ramayana,Mahabharata,Bhagavata-Purana
retroflex_l,4.208875646855888,0.0,0.25089977851605755,0.0,0.12935089369708372,0.02560360498758225,0.7013770369158113,0.0,0.5012028869286287,0.0,0.0,0.6411626415900834,0.0,0.0,1.160092807424594,0.009351606372184582,0.1296335464326895,0.09479766880167503
visarga_final,87.08797240081543,110.37227079951829,61.626176633444075,82.48918553718633,84.43085606773283,64.67470619863276,62.72648633483739,69.15912284715186,65.056134723336,70.94133697135062,125.98814229249011,66.39595355132863,75.19525337531029,91.83673469387756,98.02784222737819,116.7641571630967,111.26651974864737,93.83320556256233
diphthongs_ai,9.471538340912655,7.434944237918216,46.182862679955704,18.210013693785196,16.69802445907808,44.08940778861663,57.1154700395109,94.3494885453773,54.66452820101577,54.570259208731244,24.209486166007903,32.841775308114265,43.7730822788642,53.57142857142857,32.48259860788863,42.49369935520674,40.650351033998106,28.323894782830905
diphthongs_au,5.350478281323507,4.345777265825435,10.330149501661129,10.76458478810908,10.336312323612418,14.389226003021225,15.710845626914175,16.19007157096637,12.931034482758621,5.457025920873124,12.351778656126482,9.831160504381279,17.012774716958287,12.755102040816327,4.640371229698376,21.08787236927623,20.563974155164534,12.162953071032305
monophthongs_e,152.36631644974125,177.8627153254097,202.05218715393133,159.08369532688243,160.12464722483537,167.54999103873826,193.4164075468169,265.8518252230465,211.37396418070034,163.71077762619373,212.4505928853755,196.33824891358555,195.91935581522068,213.43537414965985,217.51740139211137,148.6624864986183,156.07878990495814,117.03390459232881
monophthongs_o,135.9887094244943,172.6791978637625,128.68563122923587,114.34764076939122,119.29680150517403,83.2373198146299,131.2977813106399,155.07042713814175,108.86126704089816,111.86903137789903,125.98814229249011,116.9053216499252,114.42755948416783,104.59183673469389,134.5707656612529,91.26700238933543,92.20356560480872,94.76881733725713
external_sandhi_unresolved,0.006272541947624275,0.0,0.0,0.0,0.011759172154280339,0.02560360498758225,0.0,0.0,0.03341352579524191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
retroflex_assimilation,14.175944801630862,16.807162678674278,21.1015365448505,18.173738766108336,16.944967074317965,24.45144276314105,40.890281252191805,30.262426876695315,26.797647687784014,19.099590723055933,19.268774703557312,13.891857234451805,20.221589877096324,28.911564625850342,24.94199535962877,23.304203079483976,30.736796141014008,16.81216048008837
subjunctive_ati,2.214207307511369,2.3561443007487304,4.836309523809524,2.1130145371772664,2.4811853245531514,5.018306577566121,3.4133682463236155,14.667145985162914,4.87837476610532,1.364256480218281,1.976284584980237,3.205813207950417,1.9373978325361747,0.8503401360544217,5.800464037122969,0.6873430683555667,0.5390026404306564,1.116963836750171
subjunctive_an,6.843343264858083,0.8377401958217708,12.259482281284606,14.691345709129493,13.20555032925682,11.496018639424431,14.19119538026325,0.5228929049968953,16.138732959101844,13.642564802182811,4.940711462450593,17.952553964522334,10.050251256281408,18.707482993197278,16.241299303944317,20.073223077894205,23.088416901485328,17.133648226459265
subjunctive_as,0.890700956562647,0.0,2.9415836101882613,3.1196437802102133,2.5987770460959547,1.203369434416366,2.3145442218221772,0.0,3.3747661053194333,1.364256480218281,0.0,1.5672864572202037,1.3925046921353756,1.7006802721088434,4.640371229698376,3.6985603201990025,3.9094748476805834,1.3065591743535212
subjunctive_at,2.3835659400972244,1.2042515314937956,6.359011627906977,4.860840308699634,4.303857008466603,8.42358604091456,6.1721179248591405,2.4641328147978694,11.761561079925153,1.364256480218281,11.857707509881422,6.76782788345088,15.801901071623176,3.401360544217687,6.960556844547564,4.507474271392969,6.481677321634474,4.867654211077314
subjunctive_ama,3.079818096283519,2.9844494476150585,1.7216915836101883,3.3463620781906065,3.1749764816556914,2.7907929436464656,4.114745283239427,3.104676623419066,1.3365410318096766,4.092769440654843,0.9881422924901185,6.6965875899408704,3.0877277956045286,2.5510204081632653,1.740139211136891,4.572935515998261,3.0975594779179487,2.8645382529201804
